127.0.0.1 - - [30/Nov/2024:11:13:24 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [30/Nov/2024:11:13:43 +0100] "GET /TW_Esame_Start/login HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [30/Nov/2024:11:13:43 +0100] "GET /TW_Esame_Start/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [30/Nov/2024:11:13:51 +0100] "POST /TW_Esame_Start/login HTTP/1.1" 200 2811
0:0:0:0:0:0:0:1 - - [30/Nov/2024:11:13:55 +0100] "GET /TW_Esame_Start/login?order=&description=mele&quantity=4&price=2.0&add=aggiungi HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [30/Nov/2024:11:53:55 +0100] "GET /TW_Esame_Start/login?order=2&description=mele&quantity=4&price=2.0&add=aggiungi HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:11:26 +0100] "GET /TW_Esame_Start/ HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:11:31 +0100] "POST /TW_Esame_Start/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:11:31 +0100] "GET /pages/cart.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:12:31 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:12:31 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:12:34 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:12:34 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:12:36 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:12:38 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:12:39 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:12:46 +0100] "POST /TW_Esame_StartingKit/login HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:12:49 +0100] "GET /TW_Esame_StartingKit/LogIn HTTP/1.1" 404 404
