127.0.0.1 - - [03/Dec/2024:21:53:53 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:54:58 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:54:59 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:54:59 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:54:59 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:55:09 +0100] "POST /TW_Kit1/servlet1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:55:12 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:55:21 +0100] "GET /TW_Kit1/shop.jsp?tickets=3&add=Acquista HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:55:28 +0100] "GET /TW_Kit1/shop.jsp?empty=ok HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:56:46 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:56:46 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:56:51 +0100] "POST /TW_Kit1/servlet1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:56:52 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:56:56 +0100] "GET /TW_Kit1/shop.jsp?tickets=4&add=Acquista HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:43 +0100] "GET /TW_Kit1/shop.jsp?tickets=4&add=Acquista HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:45 +0100] "GET /TW_Kit1/shop.jsp?tickets=4&add=Acquista HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:45 +0100] "GET /TW_Kit1/shop.jsp?tickets=4&add=Acquista HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:45 +0100] "GET /TW_Kit1/shop.jsp?tickets=4&add=Acquista HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:45 +0100] "GET /TW_Kit1/shop.jsp?tickets=4&add=Acquista HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:45 +0100] "GET /TW_Kit1/shop.jsp?tickets=4&add=Acquista HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:46 +0100] "GET /TW_Kit1/shop.jsp?tickets=4&add=Acquista HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:48 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:52 +0100] "POST /TW_Kit1/servlet1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:52 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:58 +0100] "GET /TW_Kit1/shop.jsp?tickets=3&add=Acquista HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:57:59 +0100] "GET /TW_Kit1/shop.jsp?tickets=3&add=Acquista HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:10 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:10 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:10 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:10 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:11 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:11 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:12 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:17 +0100] "POST /TW_Kit1/servlet1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:17 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:27 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:27 +0100] "GET /TW_Kit1/start.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:29 +0100] "GET /TW_Kit1/start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:32 +0100] "GET /TW_Kit1/start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:32 +0100] "GET /TW_Kit1/start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:33 +0100] "GET /TW_Kit1/start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:36 +0100] "POST /TW_Kit1/servlet1 HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:36 +0100] "GET /TW_Kit1/scripts/split.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:21:58:42 +0100] "POST /TW_Kit1/servlet1 HTTP/1.1" 302 -
