127.0.0.1 - - [15/Nov/2024:18:42:40 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:44 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:45 +0100] "GET /tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:45 +0100] "GET /tomcat.css HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:45 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:45 +0100] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:45 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:45 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:45 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:45 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:53 +0100] "GET /05_TecWeb/ HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:53 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:56 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:56 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:56 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:42:56 +0100] "GET /05_TecWeb/scripts/completamento.js HTTP/1.1" 200 3817
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:00 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=P HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:00 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=P HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:01 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=Po HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:01 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=P HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:01 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=P HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:01 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=PO HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:02 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POL HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:02 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLI HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:02 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLIT HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:02 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLITI HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:02 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLITIA HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:03 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLITIC HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:03 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLITICA HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:03 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLITICA HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:03 +0100] "GET /05_TecWeb/5_rssfeed.html? HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:05 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=p HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:05 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=p HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:05 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=pO HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:06 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=POLITICA HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:07 +0100] "GET /05_TecWeb/contents/feed.jsp?category=POLITICA HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:09 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=e HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:09 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=e HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:10 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio= HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:10 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=E HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:10 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=EC HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:10 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=ECO HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:10 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=ECON HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:11 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=ECONO HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:11 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=ECONOM HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:11 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=ECONOMIA HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:11 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=ECONOMIA HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:13 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOMIA HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:16 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=e HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:16 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=e HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:17 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio= HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:17 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=E HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:18 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=ECO HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [15/Nov/2024:18:43:18 +0100] "GET /05_TecWeb/contents/categ.jsp?inizio=ECO HTTP/1.1" 200 1355
