127.0.0.1 - - [25/Nov/2024:20:22:14 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:22:38 +0100] "GET /TW_Esame_2/ HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:22:38 +0100] "GET /TW_Esame_2/styles/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:22:38 +0100] "GET /TW_Esame_2/scripts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:22:38 +0100] "GET /TW_Esame_2/scripts/controllo.js HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:40:04 +0100] "GET /TW_Esame_2/ HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:40:06 +0100] "GET /TW_Esame_2/ HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:40:09 +0100] "GET /TW_Esame_2/ HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:40:09 +0100] "GET /TW_Esame_2/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:40:09 +0100] "GET /TW_Esame_2/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:40:09 +0100] "GET /TW_Esame_2/scripts/controllo.js HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:40:09 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Nov/2024:20:40:40 +0100] "GET /TW_Esame_2/ HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:10:22 +0100] "GET /TW_Esame_2/ HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:10:24 +0100] "GET /TW_Esame_2/ HTTP/1.1" 404 -
