0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:40 +0100] "GET /TW_Esame_File/l HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:40 +0100] "GET /styles/default.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:42 +0100] "GET /TW_Esame_File/l HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:42 +0100] "GET /styles/default.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:42 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:46 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:46 +0100] "GET /TW_Esame_File/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:46 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:46 +0100] "GET /TW_Esame_File/scripts/split.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:49 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:49 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:53 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:53 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:53 +0100] "GET /TW_Esame_File/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:00:53 +0100] "GET /TW_Esame_File/scripts/split.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:01:42 +0100] "GET /TW_Esame_File/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:01:42 +0100] "GET /TW_Esame_File/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Dec/2024:14:01:47 +0100] "POST /TW_Esame_File/login HTTP/1.1" 200 656
