127.0.0.1 - - [14/Nov/2024:16:42:44 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:48 +0100] "GET /02_TecWeb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:48 +0100] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:48 +0100] "GET /02_TecWeb2/helloworld HTTP/1.1" 500 374
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:48 +0100] "GET /styles/default.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:52 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:52 +0100] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:52 +0100] "GET /tomcat.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:52 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:52 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:52 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:52 +0100] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:42:52 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:43:52 +0100] "GET /05_TecWeb/1_beforeonload.html HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:45:54 +0100] "GET /05_TecWeb/1_beforeonload.html HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:45:56 +0100] "GET /05_TecWeb/1_beforeonload.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:45:56 +0100] "GET /05_TecWeb/scripts/almostajax.js HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:45:56 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:47:08 +0100] "GET /05_TecWeb/1_beforeonload.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:47:08 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:47:08 +0100] "GET /05_TecWeb/scripts/almostajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:47:23 +0100] "GET /05_TecWeb/3_plaintext.html HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:47:23 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:47:23 +0100] "GET /05_TecWeb/scripts/callback.js HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:47:28 +0100] "GET /05_TecWeb/4_plaintext-external.html HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:47:28 +0100] "GET /05_TecWeb/scripts/callback-external.js HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:15 +0100] "GET /05_TecWeb/5_rssfeed.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:15 +0100] "GET /05_TecWeb/styles/somestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:15 +0100] "GET /05_TecWeb/scripts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:15 +0100] "GET /05_TecWeb/scripts/rssparser.js HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:20 +0100] "GET /05_TecWeb/contents/feed.jsp?category=EC HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:20 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECO HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:20 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONO HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:20 +0100] "GET /05_TecWeb/contents/feed.jsp?category=E HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:20 +0100] "GET /05_TecWeb/contents/feed.jsp?category= HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:20 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECON HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:20 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOMI HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:20 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOM HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [14/Nov/2024:16:48:20 +0100] "GET /05_TecWeb/contents/feed.jsp?category=ECONOMIA HTTP/1.1" 200 1903
