127.0.0.1 - - [28/Nov/2024:16:09:15 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:09:31 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:09:31 +0100] "GET /TW_Esame_StartingKit/styles/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:09:31 +0100] "GET /TW_Esame_StartingKit/scripts/splitcontrollo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:09:31 +0100] "GET /TW_Esame_StartingKit/scripts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:11:35 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:11:37 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:11:41 +0100] "POST /login HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:29:18 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:29:19 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:29:24 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:29:33 +0100] "POST /TW_Esame_StartingKit/login HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:29:38 +0100] "GET /TW_Esame_StartingKit/LogIn HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:29:38 +0100] "GET /styles/default.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:29:45 +0100] "GET /TW_Esame_StartingKit/LogIn HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:29:45 +0100] "GET /styles/default.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:29:50 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:29:55 +0100] "POST /TW_Esame_StartingKit/login HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:32:37 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:32:38 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:32:56 +0100] "POST /TW_Esame_StartingKit/login HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:33:01 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:33:08 +0100] "GET /TW_Esame_StartingKit/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:33:14 +0100] "POST /TW_Esame_StartingKit/login HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:47:00 +0100] "GET /TW_Esame_StartingKit/LogIn HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:47:00 +0100] "GET /styles/default.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:47:29 +0100] "GET /TW_Esame_Start HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:47:29 +0100] "GET /TW_Esame_Start/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:47:29 +0100] "GET /TW_Esame_Start/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:47:36 +0100] "POST /TW_Esame_Start/login HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:55:30 +0100] "GET /TW_Esame_Start/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:55:32 +0100] "GET /TW_Esame_Start/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:55:32 +0100] "GET /TW_Esame_Start/styles/default.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:55:32 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Nov/2024:16:55:37 +0100] "POST /TW_Esame_Start/login HTTP/1.1" 500 -
