127.0.0.1 - - [04/Dec/2024:10:17:36 +0100] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:25:51 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:25:51 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:25:52 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:25:52 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:25:52 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:25:52 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:25:52 +0100] "GET /TW_Kit1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:25:56 +0100] "POST /TW_Kit1/servlet1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:25:57 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:26:01 +0100] "GET /TW_Kit1/shop.jsp?tickets=2&add=Acquista HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:26:04 +0100] "POST /TW_Kit1/Finalize HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:26:04 +0100] "GET /styles/default.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:26:12 +0100] "GET /styles/default.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:27:47 +0100] "GET /TW_Kit1/shop.jsp?tickets=2&add=Acquista HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:27:49 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:27:50 +0100] "GET /TW_Kit1/start.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:27:54 +0100] "POST /TW_Kit1/servlet1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:27:54 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:27:54 +0100] "GET /TW_Kit1/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:27:57 +0100] "GET /TW_Kit1/shop.jsp?tickets=3&add=Acquista HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:27:57 +0100] "GET /TW_Kit1/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:27:59 +0100] "POST /TW_Kit1/finalize HTTP/1.1" 500 1266
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:14 +0100] "GET /TW_Kit1/shop.jsp?tickets=3&add=Acquista HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:15 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:20 +0100] "GET /TW_Kit1/ HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:25 +0100] "POST /TW_Kit1/servlet1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:26 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:26 +0100] "GET /TW_Kit1/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:28 +0100] "GET /TW_Kit1/shop.jsp?tickets=3&add=Acquista HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:28 +0100] "GET /TW_Kit1/scripts/utils.js HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:30 +0100] "POST /TW_Kit1/finalize HTTP/1.1" 500 1270
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:58 +0100] "POST /TW_Kit1/finalize HTTP/1.1" 500 1270
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:30:58 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:31:01 +0100] "GET /TW_Kit1/f HTTP/1.1" 404 404
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:31:01 +0100] "GET /styles/default.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:31:03 +0100] "GET /TW_Kit1/ HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:31:08 +0100] "POST /TW_Kit1/servlet1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:31:09 +0100] "GET /TW_Kit1/shop.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [04/Dec/2024:10:31:09 +0100] "GET /TW_Kit1/scripts/utils.js HTTP/1.1" 200 3610
